grammar,grid_id,feature_a,direction_a,feature_b,direction_b,n_registered_coords,n_observed_safe,n_productive_safe,coordinate_safe_area_ratio,coordinate_productive_area_ratio,n_grids,note
G2_and,P::abs_log_h::low_tail__score_m_bridge::low_tail,abs_log_h,low_tail,score_m_bridge,low_tail,441,2,2,0.0045351473922902496,0.0045351473922902496,,
G2_and,P::abs_ratio_m1::high_tail__dist_h::high_tail,abs_ratio_m1,high_tail,dist_h,high_tail,441,0,0,0.0,0.0,,
G2_and,P::abs_ratio_m1::high_tail__dist_h::low_tail,abs_ratio_m1,high_tail,dist_h,low_tail,441,0,0,0.0,0.0,,
G2_and,P::abs_ratio_m1::high_tail__resid_mean::high_tail,abs_ratio_m1,high_tail,resid_mean,high_tail,441,18,18,0.04081632653061224,0.04081632653061224,,
G2_and,P::abs_ratio_m1::high_tail__resid_mean::low_tail,abs_ratio_m1,high_tail,resid_mean,low_tail,441,6,6,0.013605442176870748,0.013605442176870748,,
G2_and,P::abs_ratio_m1::high_tail__score_m_bridge::high_tail,abs_ratio_m1,high_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G2_and,P::abs_ratio_m1::high_tail__score_m_bridge::low_tail,abs_ratio_m1,high_tail,score_m_bridge,low_tail,441,10,10,0.022675736961451247,0.022675736961451247,,
G2_and,P::abs_ratio_m1::low_tail__dist_h::high_tail,abs_ratio_m1,low_tail,dist_h,high_tail,441,1,1,0.0022675736961451248,0.0022675736961451248,,
G2_and,P::abs_ratio_m1::low_tail__dist_h::low_tail,abs_ratio_m1,low_tail,dist_h,low_tail,441,1,1,0.0022675736961451248,0.0022675736961451248,,
G2_and,P::abs_ratio_m1::low_tail__resid_mean::high_tail,abs_ratio_m1,low_tail,resid_mean,high_tail,441,3,3,0.006802721088435374,0.006802721088435374,,
G2_and,P::abs_ratio_m1::low_tail__resid_mean::low_tail,abs_ratio_m1,low_tail,resid_mean,low_tail,441,0,0,0.0,0.0,,
G2_and,P::abs_ratio_m1::low_tail__score_m_bridge::high_tail,abs_ratio_m1,low_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G2_and,P::abs_ratio_m1::low_tail__score_m_bridge::low_tail,abs_ratio_m1,low_tail,score_m_bridge,low_tail,441,2,2,0.0045351473922902496,0.0045351473922902496,,
G2_and,P::dist_h::high_tail__resid_mean::high_tail,dist_h,high_tail,resid_mean,high_tail,441,17,17,0.03854875283446712,0.03854875283446712,,
G2_and,P::dist_h::high_tail__resid_mean::low_tail,dist_h,high_tail,resid_mean,low_tail,441,2,2,0.0045351473922902496,0.0045351473922902496,,
G2_and,P::dist_h::high_tail__score_m_bridge::high_tail,dist_h,high_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G2_and,P::dist_h::high_tail__score_m_bridge::low_tail,dist_h,high_tail,score_m_bridge,low_tail,441,0,0,0.0,0.0,,
G2_and,P::dist_h::low_tail__resid_mean::high_tail,dist_h,low_tail,resid_mean,high_tail,441,4,4,0.009070294784580499,0.009070294784580499,,
G2_and,P::dist_h::low_tail__resid_mean::low_tail,dist_h,low_tail,resid_mean,low_tail,441,0,0,0.0,0.0,,
G2_and,P::dist_h::low_tail__score_m_bridge::high_tail,dist_h,low_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G2_and,P::dist_h::low_tail__score_m_bridge::low_tail,dist_h,low_tail,score_m_bridge,low_tail,441,0,0,0.0,0.0,,
G2_and,P::resid_mean::high_tail__score_m_bridge::high_tail,resid_mean,high_tail,score_m_bridge,high_tail,441,19,19,0.04308390022675737,0.04308390022675737,,
G2_and,P::resid_mean::high_tail__score_m_bridge::low_tail,resid_mean,high_tail,score_m_bridge,low_tail,441,19,19,0.04308390022675737,0.04308390022675737,,
G2_and,P::resid_mean::low_tail__score_m_bridge::high_tail,resid_mean,low_tail,score_m_bridge,high_tail,441,4,4,0.009070294784580499,0.009070294784580499,,
G2_and,P::resid_mean::low_tail__score_m_bridge::low_tail,resid_mean,low_tail,score_m_bridge,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::high_tail__abs_ratio_m1::high_tail,abs_log_h,high_tail,abs_ratio_m1,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::high_tail__abs_ratio_m1::low_tail,abs_log_h,high_tail,abs_ratio_m1,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::high_tail__dist_h::high_tail,abs_log_h,high_tail,dist_h,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::high_tail__dist_h::low_tail,abs_log_h,high_tail,dist_h,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::high_tail__resid_mean::high_tail,abs_log_h,high_tail,resid_mean,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::high_tail__resid_mean::low_tail,abs_log_h,high_tail,resid_mean,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::high_tail__score_m_bridge::high_tail,abs_log_h,high_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::high_tail__score_m_bridge::low_tail,abs_log_h,high_tail,score_m_bridge,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::low_tail__abs_ratio_m1::high_tail,abs_log_h,low_tail,abs_ratio_m1,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::low_tail__abs_ratio_m1::low_tail,abs_log_h,low_tail,abs_ratio_m1,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::low_tail__dist_h::high_tail,abs_log_h,low_tail,dist_h,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::low_tail__dist_h::low_tail,abs_log_h,low_tail,dist_h,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::low_tail__resid_mean::high_tail,abs_log_h,low_tail,resid_mean,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::low_tail__resid_mean::low_tail,abs_log_h,low_tail,resid_mean,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::low_tail__score_m_bridge::high_tail,abs_log_h,low_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_log_h::low_tail__score_m_bridge::low_tail,abs_log_h,low_tail,score_m_bridge,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::high_tail__dist_h::high_tail,abs_ratio_m1,high_tail,dist_h,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::high_tail__dist_h::low_tail,abs_ratio_m1,high_tail,dist_h,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::high_tail__resid_mean::high_tail,abs_ratio_m1,high_tail,resid_mean,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::high_tail__resid_mean::low_tail,abs_ratio_m1,high_tail,resid_mean,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::high_tail__score_m_bridge::high_tail,abs_ratio_m1,high_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::high_tail__score_m_bridge::low_tail,abs_ratio_m1,high_tail,score_m_bridge,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::low_tail__dist_h::high_tail,abs_ratio_m1,low_tail,dist_h,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::low_tail__dist_h::low_tail,abs_ratio_m1,low_tail,dist_h,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::low_tail__resid_mean::high_tail,abs_ratio_m1,low_tail,resid_mean,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::low_tail__resid_mean::low_tail,abs_ratio_m1,low_tail,resid_mean,low_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::low_tail__score_m_bridge::high_tail,abs_ratio_m1,low_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G3_or,P::abs_ratio_m1::low_tail__score_m_bridge::low_tail,abs_ratio_m1,low_tail,score_m_bridge,low_tail,441,0,0,0.0,0.0,,
G3_or,P::dist_h::high_tail__resid_mean::high_tail,dist_h,high_tail,resid_mean,high_tail,441,0,0,0.0,0.0,,
G3_or,P::dist_h::high_tail__resid_mean::low_tail,dist_h,high_tail,resid_mean,low_tail,441,0,0,0.0,0.0,,
G3_or,P::dist_h::high_tail__score_m_bridge::high_tail,dist_h,high_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G3_or,P::dist_h::high_tail__score_m_bridge::low_tail,dist_h,high_tail,score_m_bridge,low_tail,441,0,0,0.0,0.0,,
G3_or,P::dist_h::low_tail__resid_mean::high_tail,dist_h,low_tail,resid_mean,high_tail,441,0,0,0.0,0.0,,
G3_or,P::dist_h::low_tail__resid_mean::low_tail,dist_h,low_tail,resid_mean,low_tail,441,0,0,0.0,0.0,,
G3_or,P::dist_h::low_tail__score_m_bridge::high_tail,dist_h,low_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G3_or,P::dist_h::low_tail__score_m_bridge::low_tail,dist_h,low_tail,score_m_bridge,low_tail,441,0,0,0.0,0.0,,
G3_or,P::resid_mean::high_tail__score_m_bridge::high_tail,resid_mean,high_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G3_or,P::resid_mean::high_tail__score_m_bridge::low_tail,resid_mean,high_tail,score_m_bridge,low_tail,441,0,0,0.0,0.0,,
G3_or,P::resid_mean::low_tail__score_m_bridge::high_tail,resid_mean,low_tail,score_m_bridge,high_tail,441,0,0,0.0,0.0,,
G3_or,P::resid_mean::low_tail__score_m_bridge::low_tail,resid_mean,low_tail,score_m_bridge,low_tail,441,0,0,0.0,0.0,,
G1_atom,__GRAMMAR_AGG__,,,,,870,1,1,0.0011494252873563218,0.0011494252873563218,10.0,coordinate-weighted aggregate; do not compare G1 vs G2 raw counts without context
G2_and,__GRAMMAR_AGG__,,,,,17640,153,153,0.008673469387755102,0.008673469387755102,40.0,coordinate-weighted aggregate; do not compare G1 vs G2 raw counts without context
G3_or,__GRAMMAR_AGG__,,,,,17640,0,0,0.0,0.0,40.0,coordinate-weighted aggregate; do not compare G1 vs G2 raw counts without context
