path	current_label	usage	function
scripts/eval/analyze_fpn_embeddings.py	experiment	cli	Analyze FPN embedding discriminability: intra-ID vs inter-ID cosine similarity.
scripts/eval/analyze_oao_attribution.py	experiment	cli	OAO causal attribution: classify FP/FN changes between baseline (τ=0) and OAO (τ=0.3).
scripts/eval/analyze_oao_sweep.py	experiment	cli	OAO (Occlusion-Aware Object) τ sweep analysis: metrics trend + per-sequence breakdown.
scripts/eval/analyze_pca_alt_combination.py	experiment	-	Offline follow-up to probe_private_continuation_assignment.py: the hand-picked
scripts/eval/appearance/mnv4_spatial_dilution_probe.py	experiment	cli	Spatial dilution probe for the mnv4 ReID embedding (LaSt-ViT direction gate).
scripts/eval/compare_framework_ultralytics.py	diagnostic	cli	Side-by-side MOTA comparison: Saccade vs Ultralytics (or any two result sets).
scripts/eval/convert_mot17.py	diagnostic	-	Convert/prepare MOT17 label layout for local eval trees.
scripts/eval/coordinate_optimizer.py	experiment	-	Coordinate/param optimizer over mot17 CLI knobs (historical).
scripts/eval/eval_reid_1x1.py	experiment	cli	Market-1501 ReID eval for 1×1 Conv dimension-reduction heads.
scripts/eval/eval_yolox_bytetrack.py	experiment	cli	Eval: YOLOX-X detector + our GPUByteTracker.
scripts/eval/experiments/oracle_height_birth_ceiling.py	experiment	cli	Oracle ceiling for a height-conditioned birth/output gate (no detector/tracker).
scripts/eval/experiments/oracle_occlusion_hold.py	experiment	cli	Phase-0 oracle ceiling for the `Occluded(by=A)` state policy.
scripts/eval/experiments/oracle_small_birth_ceiling.py	experiment	cli	Recall-side oracle for LOWERING new_track_thresh on small boxes.
scripts/eval/experiments/run_v14_conversion_ablation.sh	experiment	cli	Zero-training v14 conversion ablation.
scripts/eval/fpn_raw_reid_market1501.py	experiment	cli	Market-1501 ReID evaluation — raw YOLO FPN features (zero-training baseline).
scripts/eval/measure_cst040_dedup.py	experiment	cli	Measure cst040 + duplicate-suppression end-to-end.
scripts/eval/mlflow_logger.py	diagnostic	-	Helper to log eval/train metrics and git identity to MLflow.
scripts/eval/probe_camera_motion.py	experiment	-	Capstone: per-sequence camera-motion magnitude.
scripts/eval/probe_ghost_rate_by_score.py	experiment	-	Ghost-rate-by-score probe.
scripts/eval/probe_ghost_source.py	experiment	-	Decompose low-score 'ghost' boxes by source.
scripts/eval/probe_private_continuation_assignment.py	experiment	cli	Does the geometric pairwise-position signal (gap_h/dx_norm, from the #46
scripts/eval/probe_redundancy.py	experiment	-	Redundancy probe for low-score REAL_BADBOX boxes.
scripts/eval/profile_analyze.py	diagnostic	cli	Analyse per-frame CSV ledger from --profile-frame-csv.
scripts/eval/profile_cuda_kernels.py	diagnostic	-	Profile CUDA kernel time for detector/tracker hot paths.
scripts/eval/run_confirm_gate_sweep.sh	experiment	cli	Confirmation-gate sweep: shorten establishment latency (the 57% "establish/
scripts/eval/run_m_matched.sh	experiment	cli	Matched-M head retrain/eval driver at saturated fair operating point.
scripts/eval/run_native_assoc_search.sh	experiment	cli	Native association hyperparam search driver (matched baseline suite).
scripts/eval/run_native_full_sweep.sh	experiment	cli	Native full-config sweep driver (matched baseline suite).
scripts/eval/run_native_m_param.sh	experiment	cli	Native M-parameter sweep driver.
scripts/eval/run_native_m_sweep.sh	experiment	cli	Native M-architecture sweep driver.
scripts/eval/run_native_param_search.sh	experiment	cli	Native multi-parameter search driver.
scripts/eval/run_native_pr_sweep.sh	experiment	cli	Native precision/recall operating-point sweep.
scripts/eval/run_native_s_speed.sh	experiment	cli	Native S-speed variant sweep.
scripts/eval/run_nopost_eval.sh	experiment	-	Implicit vs explicit (matched seeds 42/43/44) re-evaluated with the post-processing
scripts/eval/run_teacher_head_matched_baseline.sh	experiment	cli	Matched-baseline: original YOLO detect head (teacher) vs Mamba head through the
scripts/eval/sweep_a7_quality.py	experiment	-	Sweep A7/P5-2 quality-gate thresholds against MOT metrics.
scripts/eval/sweep_external_fp_classifier.py	experiment	cli	Sweep logistic TP/FP filters on CrowdHuman external rows.
scripts/eval/sweep_low_mt.sh	experiment	-	Sweep low match_thresh values and collect overall metrics.
scripts/eval/validate_profiles.py	diagnostic	cli	Validate that pipeline_contribution.py profiles correctly map to pipeline stages
scripts/eval/verify_cpp_detector.py	diagnostic	cli	Validation and benchmark script for C++ LibTorch + TensorRT MambaGatedDetector.
scripts/release/build_slim_release.py	diagnostic	cli	Generate the slim release tree from a git ref.
scripts/tools/analyze_fn_strata.py	experiment	-	False-negative stratification: is the recall gap resolution-limited (small boxes,
scripts/tools/average_top_trials.py	experiment	cli	Print top Optuna trials and mean of their parameters.
scripts/tools/bench_pipeline_halves.py	experiment	cli	Measure the GPU-time split between the two per-frame pipeline halves.
scripts/tools/birth_death_consistency.py	experiment	cli	Birth-vs-death appearance consistency for long-lived tracks.
scripts/tools/check_scan_bwd.py	experiment	-	Validate the CUDA selective-scan backward against the JIT autograd reference.
scripts/tools/classify_gap_cause.py	experiment	cli	Classify relink gaps: person-person overlap vs non-person.
scripts/tools/cold_start_transfer.py	experiment	cli	Cold-start transfer test: do the normalized occ-gate landmarks hold on MOT20?
scripts/tools/compare_trials.py	experiment	cli	Compare a selected set of Optuna trial results.
scripts/tools/convert_mot17_to_mp4.py	diagnostic	-	Encode MOT17 image sequences to MP4 for visualization.
scripts/tools/convert_video_to_mot.py	diagnostic	cli	Convert MP4 video into a MOT-compatible sequence folder.
scripts/tools/depth_ordering_auc.py	experiment	-	Compute discrimination AUC for the depth-ordering (occlusion front/back) signal,
scripts/tools/depth_ordering_gate_sweep.py	experiment	cli	Tier-1 offline gate sweep for the same-height occlusion gate (GT-only, free).
scripts/tools/depth_ordering_probe.py	experiment	cli	Depth-ordering probe — can pre-occlusion geometry tell which of two crossing
scripts/tools/determinism_check.py	diagnostic	cli	Determinism gate: run N evals per config and verify byte-identical output.
scripts/tools/diagnose_id_switches.py	experiment	cli	Diagnose ID switches by gap type to determine P3-B (Dormant Bank + HNSW) value.
scripts/tools/eval_golden.py	diagnostic	cli	Bit-exact golden regression gate for run_eval refactors.
scripts/tools/format_tables.py	diagnostic	-	Format benchmark/eval stage tables for reports.
scripts/tools/gmc_rotation_probe.py	experiment	cli	GMC rotation distribution — does the default affine GMC leak spurious rotation?
scripts/tools/gpu_check.py	diagnostic	-	Sanity-check PyTorch/CUDA/GPU environment.
scripts/tools/graphify_cuda_patch.sh	diagnostic	cli	Re-apply graphify CUDA (.cu/.cuh) AST support after a graphify upgrade.
scripts/tools/horizon_convergence_probe.py	experiment	cli	Horizon-convergence probe — does the pedestrian bbox scale field actually
scripts/tools/horizon_detector_test.py	experiment	cli	Horizon homothety on REAL detections vs GT — does the vertex-homothety horizon
scripts/tools/horizon_homothety_probe.py	experiment	cli	Horizon-convergence probe via VERTEX HOMOTHETY (design §3) — does the
scripts/tools/horizon_window_probe.py	experiment	cli	Frame-to-frame horizon motion — the GMC signal test.
scripts/tools/intra_track_consistency.py	experiment	cli	Intra-track appearance consistency: how stable is a feature on the SAME id?
scripts/tools/motion_norm_probe.py	experiment	cli	§8.4 motion normalization — does scale-normalizing displacement improve the
scripts/tools/probe_gate_separability.py	experiment	-	Probe: is the spatial gate per-scale separable?
scripts/tools/remap_aligned.py	diagnostic	-	Remap/dedupe aligned track IDs (keep highest score per frame-id).
scripts/tools/sweep_href_variants.py	experiment	cli	Offline sweep of h_ref normalization variants for the bridge score.
scripts/tools/sweep_velocity_variants.py	experiment	cli	Offline sweep of lost-track exit velocity estimation schemes for the bridge score.
scripts/tools/test_cufft_graph.py	diagnostic	cli	Minimal cuFFT CUDA graph capture test.
scripts/tools/test_gmc_cudagraph.py	diagnostic	cli	Capture C++ estimate_into_direct in torch.cuda.CUDAGraph.
scripts/tools/test_gpu_gmc.py	diagnostic	-	Manual GPU GMC correctness/perf smoke test.
scripts/tools/test_letterbox_gpu.py	diagnostic	-	Unit test: cpp_letterbox_gpu output matches PyTorch 3-op reference.
scripts/tools/test_py_gmc.py	diagnostic	cli	Pure-Python GMC with PyTorch FFT, designed for CUDA graph capture.
scripts/tools/verify_gmc_direct.py	diagnostic	cli	Verify GMC estimate_into_direct produces identical warp as estimate_into.
scripts/train/temporal_yolo/precompute_gmc.py	diagnostic	cli	Precompute GMC affine matrices for all MOT17 training frames using C++ GPU GMC.
scripts/train/temporal_yolo/run_aug_loo.sh	experiment	cli	Parametric leave-one-out (LOO) augmentation experiment for the v14replica head.
scripts/train/temporal_yolo/run_frozenT1_probe.sh	experiment	-	§4.1 attribution discriminator: frozen-SSM + T=1-only continued training from the
scripts/train/temporal_yolo/run_pp22_augment_ablation.sh	experiment	-	Augment single-factor ablation: e30 recipe + --augment, nothing else.
scripts/train/temporal_yolo/run_pp22_augment_e30.sh	experiment	-	Downstream pipeline from the augment teacher (gated_det_pp22_augment/best.ckpt).
scripts/train/temporal_yolo/run_pp22_dfl16_chain.sh	experiment	-	DFL reg_max=16 retrain — clean single-variable test vs the reg_max=1 baseline.
scripts/train/temporal_yolo/run_pp22_full_cadence_chain.sh	experiment	-	PP22 full-cadence + interp + live-teacher + GPU-decode training chain.
scripts/train/temporal_yolo/run_pp22_heldout_e30.sh	experiment	-	Held-out v2 downstream: rebuild cache + 4 mamba stages from the e30 PP22 teacher.
scripts/train/temporal_yolo/run_pp22_sr2_chain.sh	experiment	-	SR=2 (spatial_reduction 4->2) retrain — clean single-variable test vs the baseline.
scripts/train/temporal_yolo/run_pp22_teacher_strong.sh	experiment	-	Strengthened PP22 teacher — strategies A + B (held-out plan §11). NOT yet run.
scripts/train/temporal_yolo/run_reduction_candidates.sh	experiment	cli	Matched reduction-variant experiment for the Mamba recall bottleneck.
scripts/train/temporal_yolo/run_t1joint_probe.sh	experiment	cli	Route 2 (§5): joint T-clip + T=1 loss in a SINGLE phase — keep cross-frame pressure
scripts/train/temporal_yolo/run_v14_frozen_bn_teacher.sh	experiment	cli	BN-adapt teacher control arm for the v14 full-e30 lineage.
scripts/train/temporal_yolo/run_v14_frozen_yolo_teacher.sh	experiment	cli	Frozen-YOLO teacher control arm for the v14 full-e30 lineage.
scripts/train/temporal_yolo/run_v14_full_e30_replication.sh	experiment	cli	Full v14 lineage rebuild with a teacher trained through epoch 30:
scripts/train/temporal_yolo/run_v14_parent_n16_frozen_refit.sh	experiment	-	Controlled v14 causal probe:
scripts/train/temporal_yolo/run_v14replica_consistency.sh	experiment	cli	Route 3 of mamba-t3t1-curriculum-20260613.md §5: explicit consistency protection.
scripts/train/temporal_yolo/run_v14replica_consistency_sweep.sh	experiment	-	Sweep the consistency-protection weight (route 3, mamba-t3t1-curriculum-20260613.md).
scripts/train/temporal_yolo/run_v14replica_d256_ablation.sh	experiment	-	d_model 128->256 capacity ablation for the v14replica (MOT17) main-line head.
scripts/train/temporal_yolo/run_v14replica_detail_b1h.sh	experiment	-	B1-H detail branch on the clean replica lineage (the dual-resolution plan's
scripts/train/temporal_yolo/run_v14replica_implicit_seed.sh	experiment	cli	Implicit-consistency baseline matched to T3→T1 (explicit), per v14 recipe (git 77fcc262:
scripts/train/temporal_yolo/run_v14replica_implicit_sweep.sh	experiment	-	Train the implicit-consistency baseline at 3 seeds paired to T3→T1 (explicit).
scripts/train/temporal_yolo/run_v14replica_seed.sh	experiment	cli	v14replica student-chain reseed: distill -> GT1(live) -> GT2(cache) -> eval.
scripts/train/temporal_yolo/run_v14replica_strip_oracle.sh	experiment	-	Strip detail routing (Phase 1, GT-driven oracle mask) on the clean replica
scripts/train/temporal_yolo/run_v14replica_t3t1.sh	experiment	-	T=3→T=1 GT2 variant: test "temporal enhances spatial consistency" hypothesis.
scripts/train/temporal_yolo/run_v14replica_t3t1_seed.sh	experiment	cli	T3->T1 GT2 multi-seed validation: paired comparison against each seed's
scripts/train/temporal_yolo/run_v14replica_t3t1_shared_seed.sh	experiment	cli	Explicit T3→T1 at an arbitrary seed, warm-started from the SHARED GT1
scripts/train/temporal_yolo/run_v14replica_yolo26m.sh	experiment	-	Rebuild the v14 replica lineage on YOLO26m:
scripts/train/temporal_yolo/train_conditioned.py	experiment	cli	Option D：Track-Conditioned YOLO Neck 訓練
scripts/train/temporal_yolo/train_gated_tp.py	experiment	cli	GatedYOLODetector training with Track-guided TP Recall Loss.
scripts/train/temporal_yolo/train_jde_distill.py	experiment	cli	OSNet → JDE embedding head knowledge distillation.
scripts/train/temporal_yolo/train_jde_market.py	experiment	cli	JDE-style embedding training on Market-1501 — Pipeline Convention
scripts/train/temporal_yolo/train_joint.py	experiment	cli	Option C：YOLO26s + Cross-Attention Decoder 聯合訓練
scripts/train/temporal_yolo/train_reid_1x1.py	experiment	cli	Train lightweight 1×1 Conv dimension-reduction head on Market-1501.
scripts/train/train_reid_head.py	experiment	cli	Train ReID projection head from pre-extracted FPN embedding cache.
scripts/train/train_temporal_yolo.py	experiment	cli	TemporalYOLOHybrid 訓練腳本
scripts/train_option_d.sh	experiment	-	Option D 兩階段訓練自動化腳本
